Student_ID,Gender,Age,Study_Hours,Attendance,Previous_Score,Assignment_Score,Final_Score,Internet_Access,Passed
1,Male,20,2.5,72,58,62,61,Yes,No
2,Female,21,4.0,85,72,78,79,Yes,Yes
3,Male,19,1.5,65,49,55,52,No,No
4,Female,22,5.0,92,81,88,87,Yes,Yes
5,Male,20,3.0,78,65,70,68,Yes,Yes
6,Female,19,2.0,70,55,60,57,No,No
7,Male,21,4.5,88,76,82,80,Yes,Yes
8,Female,20,3.5,82,68,75,73,Yes,Yes
9,Male,22,1.0,60,45,50,48,No,No
10,Female,21,5.5,95,88,92,91,Yes,Yes
11,Male,19,2.5,74,60,65,63,Yes,Yes
12,Female,20,4.0,87,75,80,78,Yes,Yes
13,Male,21,3.0,79,62,68,66,No,Yes
14,Female,22,2.0,68,52,58,55,No,No
15,Male,20,5.0,91,84,86,88,Yes,Yes
16,Female,19,3.5,80,70,72,71,Yes,Yes
17,Male,22,1.5,63,47,53,50,No,No
18,Female,21,4.5,89,79,84,82,Yes,Yes
19,Male,20,2.0,71,56,61,59,Yes,No
20,Female,22,5.0,94,86,90,89,Yes,Yes
21,Male,19,3.0,77,64,69,67,No,Yes
22,Female,20,4.0,86,73,79,77,Yes,Yes
23,Male,21,1.5,66,51,54,53,No,No
24,Female,19,3.5,83,69,76,74,Yes,Yes
25,Male,22,4.5,90,78,83,81,Yes,Yes
26,Female,21,2.5,75,59,64,62,No,Yes
27,Male,20,1.0,62,44,49,46,No,No
28,Female,22,5.5,96,90,94,93,Yes,Yes
29,Male,19,3.5,81,67,71,69,Yes,Yes
30,Female,20,4.5,88,77,85,83,Yes,Yes
