applicant_id,age,income,employment_type,credit_history,loan_amount,application_date,default
APP1354,51,24898.0,Salaried,1.0,218124.0,2024-09-11,0
APP1200,64,87125.0,Self-employed,1.0,362944.0,2024-08-02,0
APP1060,32,32297.0,Salaried,1.0,91554.0,2024-07-26,1
APP1487,47,188.49277096314003,Salaried,1.0,20000.0,2025-01-14,0
APP1170,54,41638.0,Self-employed,1.0,199849.0,2024-04-19,1
APP1572,38,23248.0,Salaried,0.0,117657.0,2024-11-04,1
APP1222,27,106471.0,Salaried,1.0,492884.0,2024-10-02,0
APP1132,33,17320.0,Salaried,1.0,86791.0,2025-03-16,0
APP1229,43,76922.0,Self-employed,1.0,335268.0,2025-03-20,1
APP1545,44,19922.0,Salaried,1.0,79792.0,2024-11-08,0
APP1320,44,66779.0,Salaried,1.0,222965.0,2024-10-01,0
APP1427,33,28825.0,Self-employed,1.0,127600.0,2025-05-06,0
APP1336,42,48487.0,Self-employed,1.0,190486.0,2024-10-29,0
APP1500,37,33827.0,Self-employed,1.0,173019.0,2024-07-28,1
APP1569,59,20589.0,Salaried,1.0,107087.0,2025-06-21,0
APP1504,44,65249.0,Self-employed,1.0,345153.0,2024-07-22,0
APP1359,40,97807.0,Salaried,1.0,586814.0,2024-03-04,0
APP1053,29,17793.0,Self-employed,0.0,144705.0,2025-01-16,1
APP1101,34,67736.0,Self-employed,1.0,254354.0,2024-02-17,0
APP1534,36,22824.0,Self-employed,1.0,60351.0,2025-03-17,0
APP1573,39,54445.0,Self-employed,1.0,252900.0,2024-07-04,0
APP1202,38,74601.0,Salaried,1.0,233990.0,2025-04-02,0
APP1414,45,20979.0,Self-employed,1.0,140145.0,2024-07-09,0
APP1582,26,17583.0,Salaried,1.0,55691.0,2024-10-06,0
APP1440,52,69436.0,Salaried,1.0,431517.0,2024-01-14,0
APP1140,48,1663.0,Unemployed,0.0,49482.0,2024-07-09,1
APP1188,35,21592.0,Salaried,1.0,61467.0,2025-06-05,0
APP1549,32,17071.0,Self-employed,1.0,83572.0,2024-12-16,1
APP1490,56,21349.0,Salaried,1.0,53784.0,2024-07-05,0
APP1465,40,82434.0,Salaried,1.0,380763.0,2024-07-01,0
APP1097,36,9096.0,Salaried,1.0,88538.0,2024-05-29,0
APP1498,25,5538.0,Unemployed,1.0,34855.0,2025-03-03,1
APP1409,56,18624.0,Salaried,1.0,35750.0,2024-01-09,0
APP1280,48,33485.0,Self-employed,1.0,135747.0,2024-09-26,0
APP1360,48,20870.0,Salaried,0.0,69218.0,2024-08-17,0
APP1308,64,42367.0,Self-employed,1.0,291372.0,2024-07-31,1
APP1585,48,16529.0,Salaried,1.0,28608.0,2024-08-25,1
APP1155,53,77829.0,Salaried,1.0,308216.0,2024-07-26,0
APP1281,43,24701.0,Salaried,1.0,153152.0,2025-02-21,0
APP1321,22,25128.0,Self-employed,1.0,124497.0,2024-03-28,0
APP1358,52,13835.0,Unemployed,1.0,20000.0,2024-09-27,1
APP1379,30,21575.0,Salaried,1.0,136718.0,2024-05-10,1
APP1070,30,106656.0,Self-employed,1.0,606720.0,2024-02-11,1
APP1329,44,21308.0,Salaried,1.0,135327.0,2025-01-02,0
APP1450,40,27171.0,Self-employed,1.0,149721.0,2025-03-09,0
APP1221,30,32143.0,Salaried,1.0,268809.0,2024-10-25,1
APP1328,42,97394.0,Salaried,1.0,409367.0,2024-05-21,0
APP1239,44,47154.0,Salaried,1.0,225025.0,2024-06-01,0
APP1306,32,29483.0,Salaried,0.0,125230.0,2024-02-16,1
APP1342,38,14173.0,Salaried,0.0,37210.0,2024-09-24,1
APP1543,44,103034.0,Self-employed,1.0,556471.0,2024-03-26,0
APP1193,37,26020.0,Self-employed,0.0,146065.0,2024-05-09,1
APP1272,38,17621.0,Self-employed,1.0,138402.0,2025-04-08,1
APP1492,23,17169.0,Salaried,1.0,81169.0,2024-10-23,0
APP1013,46,56300.0,Salaried,,438674.0,2024-05-20,0
APP1357,34,40373.0,Salaried,0.0,227212.0,2024-07-17,0
APP1003,28,56670.0,Salaried,1.0,137639.0,2024-09-09,0
APP1454,44,31214.0,Salaried,1.0,188764.0,2024-01-14,0
APP1479,21,27414.0,Salaried,0.0,107594.0,2024-11-16,1
APP1387,45,56693.0,Salaried,1.0,120744.0,2024-02-18,0
APP1514,38,12589.0,Salaried,1.0,20000.0,2024-09-22,0
APP1209,33,,Salaried,0.0,120195.0,2025-03-07,0
APP1154,21,3256.0,Unemployed,1.0,73598.0,2025-03-21,1
APP1563,33,19663.0,Salaried,0.0,76527.0,2024-07-10,0
APP1052,32,4184.0,Unemployed,1.0,41016.0,2024-10-12,0
APP1503,43,19585.0,Self-employed,0.0,61673.0,2024-04-13,1
APP1099,41,14361.0,Salaried,1.0,42769.0,2024-10-25,0
APP1050,31,18944.0,Unemployed,1.0,120038.0,2025-02-07,1
APP1109,35,12028.0,Salaried,1.0,32632.0,2024-06-13,0
